Naam;URN;Waarde;IMBRO;IMBRO/A;Definitie
"BijzonderheidResultaat";"urn:bro:bhrgt:ResultIrregularity";"nietVerwachtVerloop";"Ja";"Ja";"Het verloop van het resultaat is anders dan verwacht."
"BijzonderheidUitvoering";"urn:bro:bhrgt:PerformanceIrregularity";"belastingplaatScheef";"Ja";"Ja";"Tijdens het belasten is de belastingplaat (ook wel loadcap of topcap genaamd) scheef gezakt en is mogelijk gaan aanlopen."
"BijzonderheidUitvoering";"urn:bro:bhrgt:PerformanceIrregularity";"massaProefstuk";"Ja";"Ja";"De massa van het proefstuk is kleiner dan de procedure voorschrijft."
"BijzonderheidUitvoering";"urn:bro:bhrgt:PerformanceIrregularity";"materiaalVerloren";"Ja";"Ja";"Er is een correctie op de verdeling van de fractie groter dan 63 µm toegepast omdat tijdens het zeven een klein deel (niet meer dan 1%) van het materiaal verloren is gegaan. "
"BijzonderheidUitvoering";"urn:bro:bhrgt:PerformanceIrregularity";"poreuzeSteenGebroken";"Ja";"Ja";"Na afloop van het bepaling is geconstateerd dat een van de poreuze stenen is gebroken."
"BijzonderheidUitvoering";"urn:bro:bhrgt:PerformanceIrregularity";"sequentieelUitgevoerd";"Ja";"Ja";"Het organischestofgehalte, kalkgehalte en de korrelgrootteverdeling zijn achter elkaar op hetzelfde materiaal uitgevoerd. De bepalingen kunnen minder nauwkeurig zijn doordat er materiaal kan zijn weggespoeld."
"BijzonderheidUitvoering";"urn:bro:bhrgt:PerformanceIrregularity";"volumeProefstuk";"Ja";"Ja";"Het volume van het proefstuk is kleiner dan de procedure voorschrijft."
"Bodemgebruik";"urn:bro:bhrgt:SoilUse";"geenBodemgebruik";"Ja";"Ja";"Terrein met verhard oppervlak."
"Bodemgebruik";"urn:bro:bhrgt:SoilUse";"akker";"Ja";"Ja";"Terrein in landelijk gebied in gebruik voor akkerbouw of vollegrondstuinbouw."
"Bodemgebruik";"urn:bro:bhrgt:SoilUse";"boomgaard";"Ja";"Ja";"Terrein in landelijk gebied in gebruik als boomgaard. "
"Bodemgebruik";"urn:bro:bhrgt:SoilUse";"boomkwekerij";"Ja";"Ja";"Terrein in landelijk gebied in gebruik als boomkwekerij."
"Bodemgebruik";"urn:bro:bhrgt:SoilUse";"bos";"Ja";"Ja";"Terrein in landelijk gebied dat bedekt is met bos."
"Bodemgebruik";"urn:bro:bhrgt:SoilUse";"gebruikInTransitie";"Ja";"Ja";"Terrein dat niet-verhard is en nog niet werkelijk in gebruik omdat men het gebruik van het terrein aan het veranderen is."
"Bodemgebruik";"urn:bro:bhrgt:SoilUse";"glastuinbouw";"Ja";"Ja";"Terrein in landelijk gebied in gebruik voor tuinbouw onder glas."
"Bodemgebruik";"urn:bro:bhrgt:SoilUse";"grasland";"Ja";"Ja";"Terrein of een kleiner stuk grond (grasland, wegberm, dijk) in landelijk gebied dat voor korte of lange tijd met gras begroeid is."
"Bodemgebruik";"urn:bro:bhrgt:SoilUse";"natuurGeenVegetatie";"Ja";"Ja";"Terrein in landelijk gebied dat in gebruik is als natuurterrein zonder vegetatie, bijvoorbeeld stranden, wadplaten of stuifzandgebieden."
"Bodemgebruik";"urn:bro:bhrgt:SoilUse";"natuurKorteVegetatie";"Ja";"Ja";"Terrein in landelijk gebied dat in gebruik is als natuurterrein en begroeid is met heide, riet of andere korte vegetatie. "
"Bodemgebruik";"urn:bro:bhrgt:SoilUse";"nietLandelijkBomen";"Ja";"Ja";"Terrein in niet-landelijk gebied dat overwegend met bomen is begroeid (plantsoenen, singels, begraafplaatsen, volkstuinen en campings)."
"Bodemgebruik";"urn:bro:bhrgt:SoilUse";"nietLandelijkGras";"Ja";"Ja";"Terrein in niet-landelijk gebied dat overwegend met gras is begroeid (bijv. parken, golfbanen, sportparken, grasstroken en een grasveld bij zwembaden)."
"Boorprocedure";"urn:bro:bhrgt:BoringProcedure";"SIKB2001vanafV6.0";"Ja";"Ja";"SIKB protocol 2101 Mechanisch boren versie 3.3."
"Boorprocedure";"urn:bro:bhrgt:BoringProcedure";"SIKB2101vanafV3.3";"Ja";"Ja";"SIKB protocol 2101 Mechanisch boren. Versie 3.3 en opvolgende versies die geen relevante wijzigingen voor (de gegevens van) het booronderzoek bevatten."
"Boorprocedure";"urn:bro:bhrgt:BoringProcedure";"onbekend";"Nee";"Ja";"Het is niet bekend onder welke afspraken het boren is uitgevoerd."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"handDraaien";"Ja";"Ja";"De techniek waarbij een apparaat met de hand wordt bediend en door draaien dieper de grond in wordt gedreven. Tijdens het boren is er sprake van een open gat. Om het geboorde gat bij verder boren in stand te houden kan verbuizing worden aangebracht. Voorbeelden van apparaten die gebruikt worden zijn de verschillende typen edelmanboren, de lepelboor, de riversideboor, de spiraalboor en de keienvanger. "
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"handDrukken";"Ja";"Ja";"De techniek waarbij een apparaat met de hand wordt bediend en door draaien dieper de grond in wordt gedreven. Tijdens het boren is er sprake van een open gat. Om het geboorde gat bij verder boren in stand te houden kan verbuizing worden aangebracht. Voorbeelden van apparaten die gebruikt worden zijn de verschillende typen edelmanboren, de lepelboor, de riversideboor, de spiraalboor en de keienvanger. "
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"handDrukkenZuiger";"Ja";"Ja";"De techniek waarbij een apparaat dat voorzien is van een zuiger met de hand wordt bediend en door drukken dieper de grond in wordt gedreven. Voorbeelden van apparaten die gebruikt worden zijn de zuigerboor en de VanderStaay-boor."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"handHameren";"Ja";"Ja";"De techniek waarbij een apparaat met de hand wordt bediend en een hamer wordt gebruikt om het dieper de grond in te drijven; de hamer kan met de hand bediend worden of elektrisch worden aangedreven. Voorbeelden van apparaten die gebruikt worden zijn de gutsboor en bepaalde steekapparaten (monsterringsteker, folie-sampler, de steekbuis en grondkolomcilinder)."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"handPulsen";"Ja";"Ja";"De techniek waarbij een apparaat met de hand wordt bediend en een buis met een terugslagklep dieper de grond in wordt gedreven door deze herhaaldelijk te laten vallen. De buis met terugslagklep wordt de puls genoemd. Bij pulsen is het geboorde traject altijd maar voor een klein gedeelte open en wordt het grootste deel van het gat beschermd door een buis die tijdens het boren naar beneden wordt gedrukt. Aanvullende maatregelen om het geboorde gat in stand te houden om verder te kunnen boren zijn niet nodig. "
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischDraaienOnverbuisd";"Ja";"Ja";"De techniek waarbij een apparaat mechanisch wordt aangedreven en door draaien dieper de grond in wordt gedreven. Tijdens het boren is er sprake van een volledig open gat. Om het geboorde gat bij verder boren in stand te houden kan verbuizing worden aangebracht of spoeling worden gebruikt. Voorbeelden zijn bepaalde vormen van boren met de avegaar, bucketboren, luchtliften, rotary-drilling, straightflushboren en zuigboren."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischDraaienVerbuisd";"Ja";"Ja";"De techniek waarbij een apparaat mechanisch wordt aangedreven en door draaien dieper de grond in wordt gedreven. De draaiende boorkop zit onderaan een buis die precies in het gat past. De buis zorgt ervoor dat het gat tijdens het boren in stand wordt gehouden. Het voorbeeld is counter-flushboren."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischDrukken";"Ja";"Ja";"De techniek waarbij een apparaat mechanisch wordt aangedreven en door continu drukken dieper de grond in wordt gedreven. Voorbeelden van apparaten die gebruikt worden zijn het ackermann-apparaat, het Begemanapparaat, de DLDS, de holle avegaar en de spitsmuis. Ook een guts wordt gedrukt wanneer de aard van de ondergrond dat toestaat. "
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischGrijpen";"Ja";"Ja";"De techniek waarbij een mechanisch bediende grijper wordt gebruikt om het gat dieper te maken. Tijdens het boren is er sprake van een volledig open gat. Om het geboorde gat bij verder boren in stand te houden kan verbuizing worden aangebracht of spoeling worden gebruikt. Wanneer er slechts een oppervlakkig gat wordt gemaakt wordt dit niet als een vorm van boren beschouwd. Een voorbeeld is de grijperboring."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischHameren";"Ja";"Ja";"De techniek waarbij een apparaat mechanisch wordt aangedreven en een hamer wordt gebruikt om het de grond in te drijven. Voorbeelden zijn de ramguts, window sampler en het ackermann-apparaat; een guts wordt gehamerd wanneer de aard van de ondergrond dat vereist."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischPulsen";"Ja";"Ja";"De techniek waarbij een apparaat mechanisch wordt aangedreven en een buis met een terugslagklep dieper de grond in wordt gedreven door deze herhaaldelijk te laten vallen. De buis met terugslagklep wordt de puls genoemd en deze techniek is de meest gebruikte in de wereld van de geotechniek. Bij pulsen is het geboorde traject altijd maar voor een klein gedeelte open en wordt het grootste deel van het gat beschermd door een buis die tijdens het boren naar beneden wordt gedrukt. Aanvullende maatregelen om het geboorde gat in stand te houden om dieper te kunnen boren zijn niet nodig. "
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischSpuitenDraaien";"Ja";"Ja";"De techniek waarbij een apparaat mechanisch door een combinatie van spuiten en draaien dieper de grond in wordt gedreven. Tijdens het boren is er sprake van een volledig open gat. Om het geboorde gat bij verder boren in stand te houden kan verbuizing worden aangebracht. Het voorbeeld is boren met gebruik van de Sherbrooke sampler."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischSpuitenOnverbuisd";"Ja";"Ja";"De techniek waarbij een apparaat mechanisch wordt aangedreven en dieper de grond in wordt gedreven door de grond los te spuiten. De spuitkop zit onderaan een buis die precies in het gat past. De buis zorgt ervoor dat het gat tijdens het boren in stand wordt gehouden. Het voorbeeld is ro-flushboren."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischSpuitenVerbuisd";"Ja";"Ja";"De techniek waarbij met een mechanisch bediend apparaat een gat wordt gemaakt door de grond los te spuiten. Tijdens het boren is er sprake van een volledig open gat. Om het geboorde gat bij verder boren in stand te houden kan verbuizing worden aangebracht. Voorbeelden van apparaten die gebruikt worden zijn een slang aangesloten op een compressor en een spuitlans. "
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischTrillen";"Ja";"Ja";"De techniek waarbij een apparaat mechanisch wordt aangedreven en door hoog-frequent trillen dieper de grond in wordt gedreven. Het trillen kan gecombineerd worden met drukken of draaien. Voorbeelden zijn sonisch boren, vibrocoring en boren met de trilflip, de geodoff, de Zenkovitch en de Aqualock."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischVallen";"Ja";"Ja";"De techniek waarbij het apparaat mechanisch wordt aangedreven en een buis de grond in wordt gedreven door deze van geringe hoogte in een keer in de waterbodem te laten vallen. Voorbeelden zijn de dropcorer en de pistoncorer."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischVerdringen";"Ja";"Ja";"De techniek waarbij een apparaat mechanisch wordt aangedreven en door draaien, hameren, drukken of trillen de grond in wordt gedreven zonder eigenlijk materiaal naar boven te halen. Voorbeelden zijn verdringend sonisch boren, boren met de volle avegaar en boren met een holle avegaar met blinde punt."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"handOnbekend";"Nee";"Ja";"Er is een apparaat gebruikt dat met de hand dieper de grond in wordt gedreven. Het is niet bekend hoe dat is gebeurd, mogelijk zijn er verschillende technieken gebruikt."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischDraaienOnverbuisdDeelsDrukkenHameren";"Nee";"Ja";"Er zijn twee technieken gebruik: de techniek waarbij een apparaat mechanisch wordt aangedreven en door draaien dieper de grond in wordt gedreven en een techniek waarbij een apparaat mechanisch met een hamer of door continu te drukken dieper de grond in wordt gedreven. Dekt onder meer het gebruik van een standaard avegaar in combinatie met een of ander steekapparaat."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"mechanischOnbekendDeelsDrukkenHameren";"Nee";"Ja";"Er zijn twee technieken gebruikt: een techniek waarbij een apparaat mechanisch dieper de grond in wordt gedreven en een techniek waarbij een apparaat mechanisch met een hamer of door continu te drukken dieper de grond in wordt gedreven."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"onbekend";"Nee";"Ja";"Het is niet bekend welke techniek is gebruikt."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"onbekendDeelsDrukkenHameren";"Nee";"Ja";"Er zijn twee technieken gebruikt: een op geen enkele wijze gespecificeerde techniek en een techniek waarbij een apparaat mechanisch met een hamer of door continu te drukken dieper de grond in wordt gedreven."
"Boortechniek";"urn:bro:bhrgt:BoringTechnique";"onbekendPulsen";"Nee";"Ja";"Een techniek waarbij een puls dieper de grond in wordt gedreven door deze herhaaldelijk te laten vallen. "
"Breedteklasse";"urn:bro:bhrgt:ApertureClass";"uiterstSmal";"Ja";"Ja";"De kortste afstand tussen de grensvlakken is kleiner dan 0,25 mm."
"Breedteklasse";"urn:bro:bhrgt:ApertureClass";"zeerSmal";"Ja";"Ja";"De kortste afstand tussen de grensvlakken ligt tussen 0,25 en 0,5 mm."
"Breedteklasse";"urn:bro:bhrgt:ApertureClass";"smal";"Ja";"Ja";"De kortste afstand tussen de grensvlakken ligt tussen 0,5 en 2,5 mm."
"Breedteklasse";"urn:bro:bhrgt:ApertureClass";"matigSmal";"Ja";"Ja";"De kortste afstand tussen de grensvlakken ligt tussen 0,25 en 1 cm."
"Breedteklasse";"urn:bro:bhrgt:ApertureClass";"matigBreed";"Ja";"Ja";"De kortste afstand tussen de grensvlakken ligt tussen 1 en 10 cm."
"Breedteklasse";"urn:bro:bhrgt:ApertureClass";"breed";"Ja";"Ja";"De kortste afstand tussen de grensvlakken is groter dan 10 cm."
"Buismateriaal";"urn:bro:bhrgt:CasingMaterial";"pe";"Ja";"Ja";"De buis bestaat uit polyethyleen, waarbij onbekend is of het high density of low density polyethyleen betreft."
"Buismateriaal";"urn:bro:bhrgt:CasingMaterial";"peHighDensity";"Ja";"Ja";"De buis bestaat uit high density polyethyleen."
"Buismateriaal";"urn:bro:bhrgt:CasingMaterial";"peLowDensity";"Ja";"Ja";"De buis bestaat uit low density polyethyleen."
"Buismateriaal";"urn:bro:bhrgt:CasingMaterial";"pePvc";"Ja";"Ja";"De buis bestaat uit polyethyleen en pvc, waarbij onbekend is of het high density of low density polyethyleen betreft."
"Buismateriaal";"urn:bro:bhrgt:CasingMaterial";"staal";"Ja";"Ja";"De buis bestaat uit staal, waarbij onbekend is welk type staal het betreft."
"Buismateriaal";"urn:bro:bhrgt:CasingMaterial";"staalGegalvaniseerd";"Ja";"Ja";"De buis bestaat uit gegalvaniseerd staal."
"Buismateriaal";"urn:bro:bhrgt:CasingMaterial";"staalRoestvrij";"Ja";"Ja";"De buis bestaat uit roestvrij staal."
"Cementsoort";"urn:bro:bhrgt:CementType";"nietBepaald";"Ja";"Ja";"Het cement is niet herkenbaar."
"Cementsoort";"urn:bro:bhrgt:CementType";"calciet";"Ja";"Ja";"Tussen korrels neergeslagen kalkcement. Calciet is in zandsteen herkenbaar aan bruisen in aanraking met zoutzuuroplossing."
"Cementsoort";"urn:bro:bhrgt:CementType";"gips";"Ja";"Ja";"Tussen korrels neergeslagen calciumsulfaatcement. Gips bruist niet en is zachter dan calciet, het is met een mes los te snijden."
"Cementsoort";"urn:bro:bhrgt:CementType";"ijzeroxide";"Ja";"Ja";"Tussen korrels neergeslagen ijzeroxide. IJzeroxide Komt typisch voor in lagen en heeft kenmerkende rode en bruine roestkleuren."
"Cementsoort";"urn:bro:bhrgt:CementType";"kwarts";"Ja";"Ja";"Tussen korrels neergeslagen siliciumoxide. Kwarts kan in kalk- of kwartszandsteen voorkomen."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"zeerSlap";"Ja";"Ja";"Grond waar een vinger gemakkelijk tot 25 mm in kan worden gedrukt en die tussen de vingers door loopt wanneer de hand wordt samengeknepen."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"slap";"Ja";"Ja";"Grond waar een vinger tot 10 mm kan worden gedrukt en die met lichte druk van de vingers kan worden verkneed."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"stevig";"Ja";"Ja";"Grond die met de duim gemakkelijk kan worden ingedrukt en niet met de vingers kan worden verkneed, maar wel tot 3 mm dikke strengen kan worden uitgerold zonder te breken of te verkruimelen."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"stijf";"Ja";"Ja";"Grond waar met de duim een ondiepe voor in kan worden gemaakt en die verkruimelt en breekt wanneer de grond tot 3 mm dikke strengen wordt uitgerold, maar nog vochtig genoeg is om weer tot een bol te worden gekneed."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"zeerStijf";"Ja";"Ja";"Grond waar nog net een kerf in kan worden gemaakt met de nagel van de duim. De grond kan niet meer worden vervormd en verkruimelt onder druk. Vaak is deze grond uitgedroogd. De grond heeft meestal een lichte kleur."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"zeerSlapNEN5104";"Nee";"Ja";"Grond die zonder knijpen tussen de vingers door loopt. Een klasse onder de NEN 5104 procedure."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"matigSlapNEN5104";"Nee";"Ja";"Grond die bij knijpen zeer gemakkelijk tussen de vingers door loopt. Een klasse onder de NEN 5104 procedure."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"slapNEN5104";"Nee";"Ja";"Grond die bij knijpen nog goed tussen de vingers door loopt. Een klasse onder de NEN 5104 procedure."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"matigStevigNEN5104";"Nee";"Ja";"Grond die met stevig knijpen nog juist tussen de vingers door te krijgen is. Een klasse onder de NEN 5104 procedure."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"stevigNEN5104";"Nee";"Ja";"Grond die niet tussen de vingers door te krijgen is. Een klasse onder de NEN 5104 procedure."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"zeerStevigNEN5104";"Nee";"Ja";"Grond met de duimnagel in te drukken is. Een klasse onder de NEN 5104 procedure."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"hardNEN5104";"Nee";"Ja";"Grond waar met een mes in kan worden gesneden. Een klasse onder de NEN 5104 procedure."
"ConsistentieFijneGrond";"urn:bro:bhrgt:FineSoilConsistency";"zeerHardNEN5104";"Nee";"Ja";"Grond waar met een mes met moeite in kan worden gesneden. Een klasse onder de NEN 5104 procedure."
"ConsistentieOrganischeGrond";"urn:bro:bhrgt:OrganicSoilConsistency";"zeerSlap";"Ja";"Ja";"De grond loopt zonder knijpen tussen de vingers door."
"ConsistentieOrganischeGrond";"urn:bro:bhrgt:OrganicSoilConsistency";"slap";"Ja";"Ja";"De grond loopt met knijpen zeer gemakkelijk tussen de vingers door."
"ConsistentieOrganischeGrond";"urn:bro:bhrgt:OrganicSoilConsistency";"matigSlap";"Ja";"Ja";"De grond loopt met knijpen nog goed tussen de vingers door."
"ConsistentieOrganischeGrond";"urn:bro:bhrgt:OrganicSoilConsistency";"matigStevig";"Ja";"Ja";"De grond is met stevig knijpen nog juist tussen de vingers door te krijgen."
"ConsistentieOrganischeGrond";"urn:bro:bhrgt:OrganicSoilConsistency";"stevig";"Ja";"Ja";"De grond is ook met stevig knijpen niet tussen de vingers door te krijgen."
"ConsistentieOrganischeGrond";"urn:bro:bhrgt:OrganicSoilConsistency";"vast";"Ja";"Ja";"De grond is nog met de nagel in te drukken."
"Desintegratie";"urn:bro:bhrgt:Disintegration";"nietUiteengevallen";"Ja";"Ja";"Geen zichtbare desintegratie van gesteentemateriaal."
"Desintegratie";"urn:bro:bhrgt:Disintegration";"gedeeltelijkUiteengevallen";"Ja";"Ja";"Het gesteentemateriaal is gedeeltelijk bros geworden en kan met de hand in losse brokken worden gebroken."
"Desintegratie";"urn:bro:bhrgt:Disintegration";"volledigUiteengevallen";"Ja";"Ja";"Het gesteentemateriaal is volledig bros geworden en valt onder druk met de hand in de samenstellende korrels uiteen. Gedraagt zich als grond."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"geen";"Ja";"Ja";"Geen disperse inhomogeniteiten."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"dolomietbrokjesWeinig";"Ja";"Ja";"Dolomietbrokjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"dolomietbrokjesVeel";"Ja";"Ja";"Dolomietbrokjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"gipsbrokjesWeinig";"Ja";"Ja";"Gipsbrokjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"gipsbrokjesVeel";"Ja";"Ja";"Gipsbrokjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"grindlensjesWeinig";"Ja";"Ja";"Grindlensjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"grindlensjesVeel";"Ja";"Ja";"Grindlensjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"kalksteenbrokjesWeinig";"Ja";"Ja";"Kalksteenbrokjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"kalksteenbrokjesVeel";"Ja";"Ja";"Kalksteenbrokjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"kleibrokjesWeinig";"Ja";"Ja";"Kleibrokjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"kleibrokjesVeel";"Ja";"Ja";"Kleibrokjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"kleilensjesWeinig";"Ja";"Ja";"Kleilensjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"kleilensjesVeel";"Ja";"Ja";"Kleilensjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"kleisteenbrokjesWeinig";"Ja";"Ja";"Kleisteenbrokjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"kleisteenbrokjesVeel";"Ja";"Ja";"Kleisteenbrokjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"siltbrokjesWeinig";"Ja";"Ja";"Siltbrokjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"siltbrokjesVeel";"Ja";"Ja";"Siltbrokjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"siltlensjesWeinig";"Ja";"Ja";"Siltlensjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"siltlensjesVeel";"Ja";"Ja";"Siltlensjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"siltsteenbrokjesWeinig";"Ja";"Ja";"Siltsteenbrokjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"siltsteenbrokjesVeel";"Ja";"Ja";"Siltsteenbrokjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"steenkoolbrokjesWeinig";"Ja";"Ja";"Steenkoolbrokjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"steenkoolbrokjesVeel";"Ja";"Ja";"Steenkoolbrokjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"steenzoutbrokjesWeinig";"Ja";"Ja";"Steenzoutbrokjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"steenzoutbrokjesVeel";"Ja";"Ja";"Steenzoutbrokjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"veenbrokjesWeinig";"Ja";"Ja";"Veenbrokjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"veenbrokjesVeel";"Ja";"Ja";"Veenbrokjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"zandlensjesWeinig";"Ja";"Ja";"Zandlensjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"zandlensjesVeel";"Ja";"Ja";"Zandlensjes maken 25 tot 50% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"zandsteenlensjesWeinig";"Ja";"Ja";"Zandsteenlensjes maken 5 tot 25% van het volume uit."
"DisperseInhomogeniteit";"urn:bro:bhrgt:DispersedInhomogeneity";"zandsteenlensjesVeel";"Ja";"Ja";"Zandsteenlensjes maken 25 tot 50% van het volume uit."
"Dispersiemethode";"urn:bro:bhrgt:DispersionMethod";"roeren";"Ja";"Ja";"Samenklonterende korrels zijn losgemaakt door het materiaal in water los te roeren."
"Dispersiemethode";"urn:bro:bhrgt:DispersionMethod";"roerenDispersiemiddel";"Ja";"Ja";"Samenklonterende korrels zijn losgemaakt door het materiaal in water met een dispersiemiddel los te roeren."
"Dispersiemethode";"urn:bro:bhrgt:DispersionMethod";"metUltrasoonbad";"Ja";"Ja";"Samenklonterende korrels zijn losgemaakt door het materiaal in een ultrasoonbad gevuld met water en een dispersiemiddel los te trillen."
"Droogtemperatuur";"urn:bro:bhrgt:DryingTemperature";"70graden";"Ja";"Ja";"Het watergehalte is bepaald door droging van het materiaal op 70 °C. Deze temperatuur wordt gebruikt bij organisch materiaal. "
"Droogtemperatuur";"urn:bro:bhrgt:DryingTemperature";"105graden";"Ja";"Ja";"Het watergehalte is bepaald door droging van het materiaal op 105 °C ."
"Droogtemperatuur";"urn:bro:bhrgt:DryingTemperature";"110graden";"Ja";"Ja";"Het watergehalte is bepaald door droging van het materiaal op 110 °C."
"Droogtijd";"urn:bro:bhrgt:DryingPeriod";"16tot24uur";"Ja";"Ja";"Het materiaal is tussen de 16 en 24 uur gedroogd."
"Droogtijd";"urn:bro:bhrgt:DryingPeriod";"24uurEnLanger";"Ja";"Ja";"Het materiaal is langer dan 24 uur gedroogd."
"Droogtijd";"urn:bro:bhrgt:DryingPeriod";"stabieleMassa";"Ja";"Ja";"Het materiaal is gedroogd tot het materiaal een stabiele massa heeft en dat is wanneer de massa van het materiaal niet meer veranderd na een uur drogen."
"FijnGrindGehalteklasse";"urn:bro:bhrgt:FineGravelContentClass";"spoorTot1";"Nee";"Ja";"De fractie 2-5,6 mm maakt minder dan 1 procent van de massa van de grindfractie uit."
"FijnGrindGehalteklasse";"urn:bro:bhrgt:FineGravelContentClass";"weinig1tot25";"Nee";"Ja";"De fractie 2-5,6 mm maakt tussen 1 en 25 procent van de massa van de grindfractie uit."
